text,id,screenname,retweetCount,isRetweet
Never stop dreaming! #parenting #mom #business #startup #HOMEBUSINESS #getstarted #travel #dream #motivation #quit https://t.co/V5UdFmBWWq,8.30E+17,keepcalmandmom1,0,FALSE
RT @guardian: ?S?o Paulo makes London seem like a village? https://t.co/Q1eGJ6CRwW,8.30E+17,medmouad,28,TRUE
"RT @realDonaldTrump: 'Majority in Leading EU Nations Support Trump-Style Travel Ban' 
Poll of more than 10,000 people in 10 countries...htt?",8.30E+17,wohara131,20360,TRUE
RT @Telegraph: . @realDonaldTrump has suffered the biggest legal defeat of his presidency so far https://t.co/tbh2pf9Xc6 https://t.co/twUbm?,8.30E+17,PyeAlpha,59,TRUE
Sometimes you need to break some rules. #munich #germany #europe #travel #wanderlust #fashion? https://t.co/H3cb6rx8zT,8.30E+17,dyackey,0,FALSE
RT @FoxNews: Conway says court ruling on Trump travel ban 'does not affect the merits at all' https://t.co/fLsZYYMLDn,8.30E+17,thunder_gray72,137,TRUE
Popular on 500px : Waalseilandgracht III by THSonnart #Travel with us @ https://t.co/pMuNC4TIyf https://t.co/Y9gUaTqbM3,8.30E+17,ViveTelecom,0,FALSE
Spier u beauty! #spier #stellenbosch #stellies #travel #southafrica #travelmyblog #instatravel? https://t.co/AJGL7VS4F4,8.30E+17,travelmyblog,0,FALSE
"RT @GoTrails: #sea at Assateague Island National #Seashore

#trail #travel #gotrails #TTOT https://t.co/28bbCvgnFX https://t.co/VDlzxUZ22s",8.30E+17,ACCPicture,7,TRUE
"Please RT? #travel #traveller Inside South Africa's most luxurious safari lodge, ROYAL MALEWANE: review? https://t.co/Tr3xSI3Go4",8.30E+17,MoreTrravlss,0,FALSE
"RT @Yalda_so: Take me to #Tabriz (east Azerbaijan province, NW #Iran ) right now !!

#MustSeeIran
#travel 

<ed><U+00A0><U+00BC><ed><U+00BC><U+00B9><ed><U+00A0><U+00BC><ed><U+00BC><U+00BA> https://t.co/zdf37sbXaC",8.30E+17,Begabungs,7,TRUE
"#Travel#Wallpaper: Angel Falls, #Canaima National Park, Bolivar, Venezuela
Website: https://t.co/ZLRxa3AIp1 https://t.co/B6Dxzf1vsA",8.30E+17,rorford,0,FALSE
.@SouthEasternSNT  @ParkHouse1889 Parkhouse Primary School going for @ModeshiftSTARS Silver...Great work last week and super Travel Smart!,8.30E+17,Be_Travel_Smart,0,FALSE
"RT @worldnews_net: Travel slowed, schools closed in much of Atlantic Canada after major storm https://t.co/w9ZnEZuMfW #Globe #Mail #news",8.30E+17,mimi_x4,1,TRUE
"RT @CNN: President Trump tweets: ""SEE YOU IN COURT""

WA state AG responds: ""We've seen him in court twice, and we're 2 for 2"" https://t.co/?",8.30E+17,harrislarryd,12592,TRUE
Shades Of Blue A Luxury Travel Blog ? : https://t.co/VdmaoPtuc6 . https://t.co/9WLCliAQ5y,8.30E+17,BINGBING_LUXURY,0,FALSE
Trump to Welcome Japan's Abe Amid Travel Ban Court Fight - Bloomberg https://t.co/hc0IRjEAkx,8.30E+17,meta_guide_jp,0,FALSE
A look at what comes next in Trump travel banˇcase https://t.co/MpOeBK0WdL https://t.co/Wfpn4zx1xR,8.30E+17,naijacrimson,0,FALSE
S?o Paulo makes London seem like a village' - The Guardian https://t.co/dTOVSa1TJk,8.30E+17,uk_meta_guide,0,FALSE
"RT @NPR: A federal appeals court has unanimously rejected a Trump administration request allow its travel ban to take effect

https://t.co/?",8.30E+17,Know4LIFE,3182,TRUE
MSU's Libyan students caught in the middle by travel ban - The Bozeman Daily Chronicle https://t.co/MKbZ7p9t2W,8.30E+17,meta_guide_ly,0,FALSE
"Travel slowed, schools closed in much of Atlantic Canada after major storm - The Globe and Mail https://t.co/7P7NkwiNw0",8.30E+17,meta_guide_ca,0,FALSE
CityNeverSleep #camsmaniax #Travel #photography #Thaipusam #MalaysiaTrulyAsia #fotografia #500pxrtg #PhotoRTG? https://t.co/JfvveVFWAl,8.30E+17,CamsManiax_2016,0,FALSE
Chocolate-Covered Romance: Escape to The Hotel Hershey &amp; Spa This February ~ https://t.co/FYqJpEuzRQ via @dcrefined @hersheys #VDay,8.30E+17,MarktheSpaman,0,FALSE
"I guess that is it right? Not that she got to really enjoy any of the places or cultures, but she must just really? https://t.co/jhz074N3AO",8.30E+17,ldpsci,0,FALSE
"RT @FoxNews: Iraqi archbishop backs Trump travel ban, hopes for aid to Christians  https://t.co/M9q00OVAZM via @perrych https://t.co/cOp6tE?",8.30E+17,excal2438,747,TRUE
Please RT? #travel #traveller Outside Probes False South Pole Ski Record Claims https://t.co/vsAYHuLIET,8.30E+17,BstTravells,0,FALSE
"RT @DaaruBaazMehta: BREAKING

Delhi HC directs that BSF jawan Tej Bahadur Yadav's wife be allowed to travel to J&amp;K to meet him and stay ove?",8.30E+17,sudheshpn,152,TRUE
RT @loraineballard: Appeals court rules 3 to 0 against Trump on travel ban. #travelban  https://t.co/CuxZzsvYfO,8.30E+17,ldclecet1,1,TRUE
"RT @B_Ubiquitous: Sunflowers and Milky Way
#photography by Matt Walker
#California #space #flowers #fotografia #wanderlust #travel <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>
https?",8.30E+17,SolidaridEstela,32,TRUE
RT @maria_jose_ac: #ThePhotoHour #500pxrtg #trees #garden  #photography #naturaleza #travel #travellers #adventure #fotografia #photo #beau?,8.30E+17,_WildHere,8,TRUE
"RT @VisitGreecegr: Tsipouro and others spirits.
Greek drinks to lift your spirit.
#Greece #travel #VisitGreece #ttot 
https://t.co/Cgu9q78i?",8.30E+17,Barbarajoker,10,TRUE
Please RT? #travel #traveller Explore Copenhagen with Me https://t.co/AUJK4TlQhV,8.30E+17,AllTrravells,0,FALSE
RT @S_Okue: <U+5CA9><U+624B><U+770C><U+5BAE><U+53E4><U+5E02> <U+6D44><U+571F><U+30F6><U+6D5C><U+65C5><U+9928><U+3010><U+671F><U+9593><U+9650><U+5B9A><U+3011><U+5BAE><U+53E4><U+6BDB><U+30AC><U+30CB><U+3056><U+3093><U+307E><U+3044><U+5BBF><U+6CCA><U+30D7><U+30E9><U+30F3><U+306E><U+3054><U+6848><U+5185> - <U+6355><U+308C><U+305F><U+3066><U+6BDB><U+87F9><U+3092><U+307E><U+308B><U+307E><U+308B>1<U+676F><U+3068><U+3001><U+6BDB><U+87F9><U+6C41><U+3001><U+6BDB><U+87F9><U+91DC><U+3081><U+3057> 2017<U+5E74>3<U+6708>21<U+65E5><U+307E><U+3067> https://t.co/3n64f31fPZ <U+697D><U+5929><U+30C8><U+30E9><U+30D9><U+30EB> https://t.co/Adg5T?,8.30E+17,wadakashiho,2,TRUE
"RT @CNN: President Trump tweets: ""SEE YOU IN COURT""

WA state AG responds: ""We've seen him in court twice, and we're 2 for 2"" https://t.co/?",8.30E+17,BlackCampy_10,12592,TRUE
